stada,dagsetning,prosenta,kronur,a_vid,heimild,athugasemd,felag,felag_audkenni,motadili,motadili_heiti,eyda_fra,eyda_til,manudir,haekkun_a_undan,haekkun_a_eftir,algengt_hja_odrum,samningar_fjoldi,samningar,slodir,heilleiki,fjoldi_haekkana,timabil_felags
,,,,,,,RSÍ,rsi,sa,Samtök atvinnulífsins,2003-01-01,2005-01-01,24,"3,80%","3,00%","2005-01-01 3,00% (28 félög); 2004-04-19 3,25% (15 félög); 2004-01-01 3,00% (5 félög)",3,"2003-01-01–2004-12-01 Samtök atvinnulífsins, SA (Samkomulag) | 2004-01-01–2019-12-31 Vélamiðstöðvar ehf. (Samkomulag) | 2004-01-01–2004-12-01 Selfossveitur (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/Samtok_verslunarinnar.pdf https://kjarasamningar.hestafl.is/pdfs/Velamidstod_ehf.pdf https://kjarasamningar.hestafl.is/pdfs/Selfossveitur.pdf,samfelld,28,1998-01-01 – 2027-01-01
,,,,,,,RSÍ,rsi,sa,Samtök atvinnulífsins,2005-01-01,2007-01-01,24,"3,00%","5,50%","2007-01-01 2,25% (31 félög); 2006-01-01 2,50% (26 félög)",3,2005-01-01–2008-11-01 Landsvirkjun (Heildarsamningur) | 2005-01-01–2008-11-01 Landsnet hf. (Heildarsamningur) | 2005-01-01–2008-12-01 Kögun hf. (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_923.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_916.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_870.pdf,samfelld,28,1998-01-01 – 2027-01-01
,,,,,,,RSÍ,rsi,sa,Samtök atvinnulífsins,2011-07-01,2014-02-01,31,"4,25%","2,80% / 8.000 kr","2012-02-01 3,50% (22 félög); 2013-02-01 3,25% (21 félög); 2012-03-01 3,50% (5 félög); 2013-03-01 3,25% (5 félög)",3,2011-06-22–2014-01-31 Samtök rafverktaka (Heildarsamningur) | 2014-01-01–2015-02-28 RARIK ohf. (Heildarsamningur) | 2014-01-01–2015-02-01 Landsvirkjun (Viðauki),https://kjarasamningar.hestafl.is/pdfs/1fd323ac2d3820a17418cc0ffe01b62a.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1067.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_924.pdf,samfelld,28,1998-01-01 – 2027-01-01
,,,,,,,RSÍ,rsi,sa,Samtök atvinnulífsins,2014-02-01,2016-01-01,23,"2,80% / 8.000 kr","6,20% / 15.000 kr","2016-01-01 7,20% (17 félög); 2015-05-01 7,70% (6 félög); 2016-01-01 6,20% (5 félög); 2015-05-01 7,20% (3 félög)",3,2015-05-01–2018-12-01 Samtök rafverktaka (Heildarsamningur) | 2014-02-01–2015-02-28 Landsnet hf. (Heildarsamningur) | 2014-02-01–2015-02-28 Orkuveita Reykjavíkur (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_1072.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_917.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_rsi_or_2014.pdf,samfelld,28,1998-01-01 – 2027-01-01
,,,,,,,SGS,sgs,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",3,"2008-05-01–2009-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2009-07-01–2010-11-01 Ríkissjóður, SNR (Samkomulag) | 2011-05-01–2014-06-30 Samband íslenskra sveitarfélaga (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_851.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_850.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1583.pdf,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,Verkalýðsfélag Fljótsdalshéraðs,verkalydsfelag-fljotsdalsherads,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",0,,,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,Verkalýðsfélag Grindavíkur,verkalydsfelag-grindavikur,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",0,,,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,Verkalýðsfélag Vestfirðinga,verkalydsfelag-vestfirdinga,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",0,,,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,Verkalýðsfélag Vestfjarðinga,verkalydsfelag-vestfjardinga,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",0,,,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,VM,vm,sa,Samtök atvinnulífsins,1983-03-01,1996-01-01,154,"1,00%","3,00%","1990-12-01 2,00% (4 félög); 1991-03-01 2,50% (4 félög); 1991-06-01 2,00% (4 félög); 1987-10-01 1,50% (4 félög)",0,,,samfelld,24,1983-01-01 – 2028-01-01
