Mánuður,Eining,gildi
2004M11,"Ársbreyting, %",5.4
2004M12,Vísitölugildi,255.5
2004M12,"Mánaðarbreyting, %",0.7
2004M12,"Ársbreyting, %",6
2005M01,Vísitölugildi,261.1
2005M01,"Mánaðarbreyting, %",2.2
2005M01,"Ársbreyting, %",6.6
2005M02,Vísitölugildi,261.9
2005M02,"Mánaðarbreyting, %",0.3
2005M02,"Ársbreyting, %",6.7
2005M03,Vísitölugildi,262.9
2005M03,"Mánaðarbreyting, %",0.4
2005M03,"Ársbreyting, %",6.5
2005M04,Vísitölugildi,264.2
2005M04,"Mánaðarbreyting, %",0.5
2005M04,"Ársbreyting, %",6.7
2005M05,Vísitölugildi,265.9
2005M05,"Mánaðarbreyting, %",0.6
2005M05,"Ársbreyting, %",6.6
2005M06,Vísitölugildi,267
2005M06,"Mánaðarbreyting, %",0.4
2005M06,"Ársbreyting, %",6.3
2005M07,Vísitölugildi,268
2005M07,"Mánaðarbreyting, %",0.4
2005M07,"Ársbreyting, %",6.6
2005M08,Vísitölugildi,268.9
2005M08,"Mánaðarbreyting, %",0.3
2005M08,"Ársbreyting, %",6.7
2005M09,Vísitölugildi,269.8
2005M09,"Mánaðarbreyting, %",0.3
2005M09,"Ársbreyting, %",6.9
2005M10,Vísitölugildi,270.6
2005M10,"Mánaðarbreyting, %",0.3
2005M10,"Ársbreyting, %",6.9
2005M11,Vísitölugildi,272.3
2005M11,"Mánaðarbreyting, %",0.6
2005M11,"Ársbreyting, %",7.3
2005M12,Vísitölugildi,273.9
2005M12,"Mánaðarbreyting, %",0.6
2005M12,"Ársbreyting, %",7.2
2006M01,Vísitölugildi,282.8
2006M01,"Mánaðarbreyting, %",3.3
2006M01,"Ársbreyting, %",8.3
2006M02,Vísitölugildi,284.4
2006M02,"Mánaðarbreyting, %",0.6
2006M02,"Ársbreyting, %",8.6
2006M03,Vísitölugildi,285.4
2006M03,"Mánaðarbreyting, %",0.3
2006M03,"Ársbreyting, %",8.6
2006M04,Vísitölugildi,286.4
2006M04,"Mánaðarbreyting, %",0.4
2006M04,"Ársbreyting, %",8.4
2006M05,Vísitölugildi,289.1
2006M05,"Mánaðarbreyting, %",0.9
2006M05,"Ársbreyting, %",8.7
2006M06,Vísitölugildi,290.4
2006M06,"Mánaðarbreyting, %",0.4
2006M06,"Ársbreyting, %",8.8
2006M07,Vísitölugildi,295.4
2006M07,"Mánaðarbreyting, %",1.7
2006M07,"Ársbreyting, %",10.2
2006M08,Vísitölugildi,297.4
2006M08,"Mánaðarbreyting, %",0.7
2006M08,"Ársbreyting, %",10.6
2006M09,Vísitölugildi,298.9
2006M09,"Mánaðarbreyting, %",0.5
2006M09,"Ársbreyting, %",10.8
2006M10,Vísitölugildi,300.4
2006M10,"Mánaðarbreyting, %",0.5
2006M10,"Ársbreyting, %",11
2006M11,Vísitölugildi,301
2006M11,"Mánaðarbreyting, %",0.2
2006M11,"Ársbreyting, %",10.5
2006M12,Vísitölugildi,300.8
2006M12,"Mánaðarbreyting, %",-0.1
2006M12,"Ársbreyting, %",9.8
2007M01,Vísitölugildi,311.5
2007M01,"Mánaðarbreyting, %",3.5
2007M01,"Ársbreyting, %",10.1
2007M02,Vísitölugildi,312.3
2007M02,"Mánaðarbreyting, %",0.3
2007M02,"Ársbreyting, %",9.8
2007M03,Vísitölugildi,313.2
2007M03,"Mánaðarbreyting, %",0.3
2007M03,"Ársbreyting, %",9.7
2007M04,Vísitölugildi,314.6
2007M04,"Mánaðarbreyting, %",0.4
2007M04,"Ársbreyting, %",9.8
2007M05,Vísitölugildi,316.9
2007M05,"Mánaðarbreyting, %",0.7
2007M05,"Ársbreyting, %",9.6
2007M06,Vísitölugildi,319
2007M06,"Mánaðarbreyting, %",0.6
2007M06,"Ársbreyting, %",9.8
2007M07,Vísitölugildi,319.8
2007M07,"Mánaðarbreyting, %",0.3
2007M07,"Ársbreyting, %",8.3
2007M08,Vísitölugildi,321.1
2007M08,"Mánaðarbreyting, %",0.4
2007M08,"Ársbreyting, %",8
2007M09,Vísitölugildi,323.1
2007M09,"Mánaðarbreyting, %",0.6
2007M09,"Ársbreyting, %",8.1
2007M10,Vísitölugildi,324.6
2007M10,"Mánaðarbreyting, %",0.5
2007M10,"Ársbreyting, %",8.1
2007M11,Vísitölugildi,325.9
2007M11,"Mánaðarbreyting, %",0.4
2007M11,"Ársbreyting, %",8.3
2007M12,Vísitölugildi,326.6
2007M12,"Mánaðarbreyting, %",0.2
2007M12,"Ársbreyting, %",8.6
2008M01,Vísitölugildi,330.9
2008M01,"Mánaðarbreyting, %",1.3
2008M01,"Ársbreyting, %",6.2
2008M02,Vísitölugildi,333.5
2008M02,"Mánaðarbreyting, %",0.8
2008M02,"Ársbreyting, %",6.8
2008M03,Vísitölugildi,337.6
2008M03,"Mánaðarbreyting, %",1.2
2008M03,"Ársbreyting, %",7.8
2008M04,Vísitölugildi,340.5
2008M04,"Mánaðarbreyting, %",0.9
2008M04,"Ársbreyting, %",8.2
2008M05,Vísitölugildi,342
2008M05,"Mánaðarbreyting, %",0.4
2008M05,"Ársbreyting, %",7.9
2008M06,Vísitölugildi,346.2
2008M06,"Mánaðarbreyting, %",1.2
2008M06,"Ársbreyting, %",8.5
2008M07,Vísitölugildi,348.8
