Mánuður,Vísitala,Launþegahópur,Eining,gildi
2015M08,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,77
2015M08,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",1.5
2015M08,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,77
2015M08,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",2.5
2015M08,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.1
2015M08,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.3
2015M08,Vísitala grunnlauna,Alls,Vísitölugildi,78.9
2015M08,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.7
2015M08,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,79.2
2015M08,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.4
2015M08,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,78.2
2015M08,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",1.4
2015M08,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,78
2015M08,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",2.4
2015M08,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,78.4
2015M08,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2015M09,Launavísitala,Alls,Vísitölugildi,79.2
2015M09,Launavísitala,Alls,"Mánaðarbreyting, %",1.2
2015M09,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,79.6
2015M09,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",1.2
2015M09,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,77.6
2015M09,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.9
2015M09,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,77.9
2015M09,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",1.3
2015M09,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.4
2015M09,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.4
2015M09,Vísitala grunnlauna,Alls,Vísitölugildi,79.3
2015M09,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.5
2015M09,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,79.6
2015M09,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.5
2015M09,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,78.7
2015M09,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.7
2015M09,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,78.8
2015M09,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",1.1
2015M09,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,78.7
2015M09,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.3
2015M10,Launavísitala,Alls,Vísitölugildi,79.5
2015M10,Launavísitala,Alls,"Mánaðarbreyting, %",0.3
2015M10,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,80.1
2015M10,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.6
2015M10,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,77.7
2015M10,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2015M10,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,77.9
2015M10,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0
2015M10,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.6
2015M10,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2015M10,Vísitala grunnlauna,Alls,Vísitölugildi,79.7
2015M10,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.5
2015M10,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,80.1
2015M10,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.6
2015M10,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,78.7
2015M10,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",-0.1
2015M10,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,78.7
2015M10,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",-0.1
2015M10,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,78.7
2015M10,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2015M11,Launavísitala,Alls,Vísitölugildi,80.2
2015M11,Launavísitala,Alls,"Mánaðarbreyting, %",0.9
2015M11,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,80.5
2015M11,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.5
2015M11,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,79.2
2015M11,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",1.9
2015M11,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,80.4
2015M11,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",3.2
2015M11,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.8
2015M11,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.4
2015M11,Vísitala grunnlauna,Alls,Vísitölugildi,80.2
2015M11,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.7
2015M11,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,80.4
2015M11,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.4
2015M11,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,79.8
2015M11,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",1.3
2015M11,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,80.6
2015M11,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",2.4
2015M11,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,78.8
2015M11,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2015M12,Launavísitala,Alls,Vísitölugildi,80.9
2015M12,Launavísitala,Alls,"Mánaðarbreyting, %",0.9
2015M12,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,80.6
2015M12,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.2
2015M12,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,81.6
2015M12,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",3
2015M12,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,81.2
2015M12,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.9
2015M12,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,82.1
2015M12,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",5.4
2015M12,Vísitala grunnlauna,Alls,Vísitölugildi,81
2015M12,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",1
2015M12,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,80.7
2015M12,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2015M12,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,81.9
2015M12,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",2.7
2015M12,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,81.9
2015M12,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",1.6
2015M12,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,82
2015M12,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",4
2016M01,Launavísitala,Alls,Vísitölugildi,81.3
2016M01,Launavísitala,Alls,"Mánaðarbreyting, %",0.4
2016M01,Launavísitala,Alls,"Ársbreyting, %",9.4
2016M01,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,81
2016M01,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.5
2016M01,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",9
2016M01,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,82
2016M01,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.5
2016M01,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",11.1
2016M01,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,81.5
2016M01,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.4
