heimild,heimild_heiti,skjal,adili_1,adili_2,rakning,samningur_fra,samningur_til,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,tilvitnun
samidn,Samiðn,samidn/samningurmh2004.pdf,"Samiðnar - sambands iðnfélaga, vegna aðildarfélaga",Meistarafélags húsasmiða,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,kauptaxtar,úr texta,"þessum felast og falla þá úr gildi án sérstakrar uppsagnar. Samningur þessi gildir frá 1. maí 2004. 2. gr. Laun Laun og aðrir kjaratengdir liðir hækka sem hér segir: 26. apríl 2004 3,25%. 1. janúar 2005 3,0%, 1. janúar 2006 2,5% 1. janúar 2007 2,25%. 3. gr. Launataxtar Með gildistöku samnings þessa falla úr gildi all"
sa,Samtök atvinnulífsins,sa/b7f7e43a-dad2-4794-95ed-00b41f6ebb01_Kjarasamningur SA og Lyfjafræðingafélags Íslands v. apóteka.pdf,SAMTAKA ATVINNULÍFSINS,LYFJAFRÆÐINGAFÉLAGS ÍSLANDS,aðilar úr skjali,,,2005-12-31,prósenta,2.5,,óskilgreint,úr texta,"jun 2005 og 2006 sem sýni launabreytingar sem verða innan stéttarinnar á tímabilinu. Komi í ljós að launabreytingar lyfjafræðinga í heild hafi verið lægri en 2,5% á tímabilinu frá 1. janúar 2005 – 31. desember 2005 verður mismunur launa - breytinga skv. launakönnun og 2,5% greiddur í formi kjarasamningsbundinnar launahækkunar til starfandi lyfjafræðinga í apótekum frá 1. janúar 2006. Kjarasamnings"
afl,AFL Starfsgreinafélag,afl/kjarasamningur_sgs_og_ln_2005.pdf,Launanefndar sveitarfélaga f.h. þeirra sveitarfélaga,annarra aðila sem hún hefur,aðilar úr skjali,,,2006-01-01,prósenta,3.0,,launatafla,úr texta,"75 283.638 294.132 305.015 316.301 328.004 Útgefin launatafla hverju sinni nær yfir alla launaflokka sem miðað er við í kjarasamningi þessum. Mánaðarlaun hækka sem hér segir á samningstímanum: 1. janúar 2006 3,0% 1. janúar 2007 3,0% 1. janúar 2008 3,0% 1.1.1.1 Að afloknum þriggja mánaða reynslutím a skulu föst laun greidd fyrir"
afl,AFL Starfsgreinafélag,afl/kjarasamningursaogsamidn.pdf,Samtaka atvinnulífsins,Samiðnar ­ sambands,aðilar úr skjali,,,2006-01-01,prósenta,2.5,,kauptaxtar,úr texta,"t við starfsaldur í starfsgrein frá sveinsprófi. 1.1.2. Launabreytingar á samningstímanum Laun og aðrir kjaratengdir liðir hækka sem hér segir: 26. apríl 2004 3,25%. 1. janúar 2005 3,0%, 1. janúar 2006 2,5% 1. janúar 2007 2,25%. 1.1.3. Taxtar nær greiddu kaupi Með samningi þessum eru lágm arkslaunataxtar Samiðnarmanna fær"
afl,AFL Starfsgreinafélag,afl/livafl.pdf,"skóla, stéttarfélags",fyrirtækis,aðilar úr skjali,,,2006-01-01,prósenta,2.5,,almenn laun,úr texta,"r fsfólks í gestamó ttöku og apót ekum ví sast t il viðkomandi samninga. 1.2. Launamyndun 1.2.1. H ækkun launa Öll laun hækka sem hér segir: 16. apríl 2004 3,25%, 1. janúar 2005 3,00%, 1. janúar 2006 2,50%, 1. janúar 2007 2,25% (2,9%) Aðrir k jaratengdir liðir tak a sö mu breytingum hlutfallslega á sömu dagsetningum, ne"
afl,AFL Starfsgreinafélag,afl/rkissamningur.pdf,fjármálaráðherra f.h. ríkissjóðs,Starfsgreinasambands Íslands,aðilar úr skjali,,,2006-01-01,prósenta,2.5,,launatafla,úr texta,"nin og margfaldað með fjölda almanaksdaga annarra en laugardaga og sunnudaga frá upphafi eða til loka starfstíma. 1.1.3 Launatafla taki þeim hækkunum sem hér segir: 1. janúar 2005 3,00% 1. janúar 2006 2,50% 1. janúar 2007 2,25% 1. janúar 2008 0,50% 1.2 Launaþrep 1.2.1 Í launatöflu eru 6 þrep og raðast starfsmaður eft"
afl,AFL Starfsgreinafélag,afl/samningur_vid_edduhotel.pdf,Flugleiðahótel hf. vegna sumarhótela sinna,Starfsgreinasamband,aðilar úr skjali,2004-03-01,2007-12-31,2006-01-01,prósenta,2.5,,launatafla,úr texta,"ndi aldri er náð. Laun 17 ára eru 95% af byrjunarlaunum 18 ára í launaflokki 4, laun 16 ára 90% , laun 15 ára 75% og 14 ára 65% af sama stofni. Laun hækka sem hér segir: 1. janúar 2005 um 3%, 1. janúar 2006 um 2,5% 1. janúar 2008 um 2,25% Þann 1. janúar 2006 breytist röðun starfa í launaflokka þannig að þeir sem eru í launaflokki"
afl,AFL Starfsgreinafélag,afl/samningur_vid_edduhotel.pdf,Flugleiðahótel hf. vegna sumarhótela sinna,Starfsgreinasamband,aðilar úr skjali,2004-03-01,2007-12-31,2006-01-01,prósenta,2.25,,launatafla,úr texta,"af byrjunarlaunum 18 ára í launaflokki 4, laun 16 ára 90% , laun 15 ára 75% og 14 ára 65% af sama stofni. Laun hækka sem hér segir: 1. janúar 2005 um 3%, 1. janúar 2006 um 2,5% 1. janúar 2008 um 2,25% Þann 1. janúar 2006 breytist röðun starfa í launaflokka þannig að þeir sem eru í launaflokki 4 færast í launaflokk 5 og þeir sem eru í lau"
afl,AFL Starfsgreinafélag,afl/ssiogasaaustf.pdf,Útvegsmannafélags Austfjarða og Samtaka atvinnulífsins,Alþýðusambands Austurlands,aðilar úr skjali,,,2006-01-01,prósenta,3.5,,óskilgreint,úr texta,"m meðtöldum. 1.03. Hækkun kaupliða. Frá gildistöku samnings þessa skulu kauptrygging og aðrir launaliðir hækka sem hér segir: Frá 30. október 2004 4,25% Þann 1. janúar 2005 3,00% Þann 1. janúar 2006 3,50% Þann 1. janúar 2007 2,25% Þann 1. janúar 2008 3,50% Tímakaup skal miðast við deilistuðulinn 173,33 í kauptryggingu."
afl,AFL Starfsgreinafélag,afl/ssiogliuhofn.pdf,Landsambands íslenskra útvegsmanna og Samtaka atvinnulífsins,Sjómannasambands Íslands,aðilar úr skjali,,,2006-01-01,prósenta,3.5,,óskilgreint,úr texta,"eðtöldum. 1.03. Hækkun kaupliða. Frá gildistöku samnings þessa skulu kaupt rygging og aðrir la unaliðir hækka sem hér segir: Frá 30. október 2004 4,25% Þann 1. janúar 2005 3,00% Þann 1. janúar 2006 3,50% Þann 1. janúar 2007 2,25% Þann 1. janúar 2008 3,50% Tímakaup skal miðast við deilistuðulinn 173,33 í kauptryggingu."
