Mánuður,Vísitala,Liður,gildi
1991M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.8
1991M05,Vísitala neysluverðs,Vísitala,152.8
1991M05,Vísitala neysluverðs,"Mánaðarbreyting, %",1.19
1991M05,Vísitala neysluverðs,"Ársbreyting, %",5.8
1991M05,Vísitala neysluverðs án húsnæðis,Vísitala,155
1991M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.17
1991M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.9
1991M06,Vísitala neysluverðs,Vísitala,154.9
1991M06,Vísitala neysluverðs,"Mánaðarbreyting, %",1.37
1991M06,Vísitala neysluverðs,"Ársbreyting, %",6.5
1991M06,Vísitala neysluverðs án húsnæðis,Vísitala,156.3
1991M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.84
1991M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",7
1991M07,Vísitala neysluverðs,Vísitala,156
1991M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.71
1991M07,Vísitala neysluverðs,"Ársbreyting, %",6.6
1991M07,Vísitala neysluverðs án húsnæðis,Vísitala,157.1
1991M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.51
1991M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.7
1991M08,Vísitala neysluverðs,Vísitala,157.2
1991M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.77
1991M08,Vísitala neysluverðs,"Ársbreyting, %",7.1
1991M08,Vísitala neysluverðs án húsnæðis,Vísitala,158.2
1991M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.7
1991M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.6
1991M09,Vísitala neysluverðs,Vísitala,158.1
1991M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.57
1991M09,Vísitala neysluverðs,"Ársbreyting, %",7.7
1991M09,Vísitala neysluverðs án húsnæðis,Vísitala,159.1
1991M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.57
1991M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",7.3
1991M10,Vísitala neysluverðs,Vísitala,159.3
1991M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.76
1991M10,Vísitala neysluverðs,"Ársbreyting, %",8.2
1991M10,Vísitala neysluverðs án húsnæðis,Vísitala,160.4
1991M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.82
1991M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",7.7
1991M11,Vísitala neysluverðs,Vísitala,160
1991M11,Vísitala neysluverðs,"Mánaðarbreyting, %",0.44
1991M11,Vísitala neysluverðs,"Ársbreyting, %",8
1991M11,Vísitala neysluverðs án húsnæðis,Vísitala,161.1
1991M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.44
1991M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",7.2
1991M12,Vísitala neysluverðs,Vísitala,159.8
1991M12,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.12
1991M12,Vísitala neysluverðs,"Ársbreyting, %",7.5
1991M12,Vísitala neysluverðs án húsnæðis,Vísitala,161
1991M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.06
1991M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.8
1992M01,Vísitala neysluverðs,Vísitala,160.2
1992M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.25
1992M01,Vísitala neysluverðs,"Ársbreyting, %",7.2
1992M01,Vísitala neysluverðs án húsnæðis,Vísitala,161.5
1992M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.31
1992M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.5
1992M02,Vísitala neysluverðs,Vísitala,160.4
1992M02,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1992M02,Vísitala neysluverðs,"Ársbreyting, %",6.9
1992M02,Vísitala neysluverðs án húsnæðis,Vísitala,161.8
1992M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.19
1992M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.3
1992M03,Vísitala neysluverðs,Vísitala,160.6
1992M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1992M03,Vísitala neysluverðs,"Ársbreyting, %",6.9
1992M03,Vísitala neysluverðs án húsnæðis,Vísitala,162.2
1992M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.25
1992M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.2
1992M04,Vísitala neysluverðs,Vísitala,160.6
1992M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0
1992M04,Vísitala neysluverðs,"Ársbreyting, %",6.4
1992M04,Vísitala neysluverðs án húsnæðis,Vísitala,162.3
1992M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.06
1992M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",5.9
1992M05,Vísitala neysluverðs,Vísitala,160.5
1992M05,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.06
1992M05,Vísitala neysluverðs,"Ársbreyting, %",5
1992M05,Vísitala neysluverðs án húsnæðis,Vísitala,162.6
1992M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.18
1992M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.9
1992M06,Vísitala neysluverðs,Vísitala,161.1
1992M06,Vísitala neysluverðs,"Mánaðarbreyting, %",0.37
1992M06,Vísitala neysluverðs,"Ársbreyting, %",4
1992M06,Vísitala neysluverðs án húsnæðis,Vísitala,163.3
1992M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.43
1992M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.5
1992M07,Vísitala neysluverðs,Vísitala,161.4
1992M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.19
1992M07,Vísitala neysluverðs,"Ársbreyting, %",3.5
1992M07,Vísitala neysluverðs án húsnæðis,Vísitala,163.7
1992M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.24
1992M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.2
1992M08,Vísitala neysluverðs,Vísitala,161.4
1992M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0
1992M08,Vísitala neysluverðs,"Ársbreyting, %",2.7
1992M08,Vísitala neysluverðs án húsnæðis,Vísitala,163.8
1992M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.06
1992M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.5
1992M09,Vísitala neysluverðs,Vísitala,161.3
1992M09,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.06
1992M09,Vísitala neysluverðs,"Ársbreyting, %",2
1992M09,Vísitala neysluverðs án húsnæðis,Vísitala,163.8
1992M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0
1992M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3
1992M10,Vísitala neysluverðs,Vísitala,161.4
1992M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.06
1992M10,Vísitala neysluverðs,"Ársbreyting, %",1.3
1992M10,Vísitala neysluverðs án húsnæðis,Vísitala,163.9
1992M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.06
1992M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.2
1992M11,Vísitala neysluverðs,Vísitala,161.4
1992M11,Vísitala neysluverðs,"Mánaðarbreyting, %",0
1992M11,Vísitala neysluverðs,"Ársbreyting, %",0.9
1992M11,Vísitala neysluverðs án húsnæðis,Vísitala,163.9
1992M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0
1992M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.7
1992M12,Vísitala neysluverðs,Vísitala,162.2
1992M12,Vísitala neysluverðs,"Mánaðarbreyting, %",0.5
1992M12,Vísitala neysluverðs,"Ársbreyting, %",1.5
1992M12,Vísitala neysluverðs án húsnæðis,Vísitala,164.9
1992M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.61
1992M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.4
1993M01,Vísitala neysluverðs,Vísitala,164.1
1993M01,Vísitala neysluverðs,"Mánaðarbreyting, %",1.17
1993M01,Vísitala neysluverðs,"Ársbreyting, %",2.4
1993M01,Vísitala neysluverðs án húsnæðis,Vísitala,167.1
1993M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.33
1993M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.5
1993M02,Vísitala neysluverðs,Vísitala,165.3
1993M02,Vísitala neysluverðs,"Mánaðarbreyting, %",0.73
1993M02,Vísitala neysluverðs,"Ársbreyting, %",3.1
1993M02,Vísitala neysluverðs án húsnæðis,Vísitala,168.4
1993M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.78
1993M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.1
1993M03,Vísitala neysluverðs,Vísitala,165.4
1993M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.06
1993M03,Vísitala neysluverðs,"Ársbreyting, %",3
1993M03,Vísitala neysluverðs án húsnæðis,Vísitala,168.6
1993M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.12
1993M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.9
1993M04,Vísitala neysluverðs,Vísitala,165.9
1993M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.3
1993M04,Vísitala neysluverðs,"Ársbreyting, %",3.3
1993M04,Vísitala neysluverðs án húsnæðis,Vísitala,169.1
1993M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.3
1993M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.2
1993M05,Vísitala neysluverðs,Vísitala,166.3
1993M05,Vísitala neysluverðs,"Mánaðarbreyting, %",0.24
1993M05,Vísitala neysluverðs,"Ársbreyting, %",3.6
1993M05,Vísitala neysluverðs án húsnæðis,Vísitala,169.6
1993M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.3
1993M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.3
1993M06,Vísitala neysluverðs,Vísitala,166.2
1993M06,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.06
1993M06,Vísitala neysluverðs,"Ársbreyting, %",3.2
1993M06,Vísitala neysluverðs án húsnæðis,Vísitala,169.4
1993M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.12
1993M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.7
1993M07,Vísitala neysluverðs,Vísitala,167.7
1993M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.9
1993M07,Vísitala neysluverðs,"Ársbreyting, %",3.9
1993M07,Vísitala neysluverðs án húsnæðis,Vísitala,171.2
1993M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.06
1993M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.6
1993M08,Vísitala neysluverðs,Vísitala,169.2
1993M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.89
1993M08,Vísitala neysluverðs,"Ársbreyting, %",4.8
1993M08,Vísitala neysluverðs án húsnæðis,Vísitala,172.8
1993M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.93
1993M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",5.5
1993M09,Vísitala neysluverðs,Vísitala,169.8
1993M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.35
1993M09,Vísitala neysluverðs,"Ársbreyting, %",5.3
1993M09,Vísitala neysluverðs án húsnæðis,Vísitala,173.3
1993M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.29
1993M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",5.8
1993M10,Vísitala neysluverðs,Vísitala,170.8
1993M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.59
1993M10,Vísitala neysluverðs,"Ársbreyting, %",5.8
1993M10,Vísitala neysluverðs án húsnæðis,Vísitala,174.7
1993M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.81
1993M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.6
1993M11,Vísitala neysluverðs,Vísitala,170.8
1993M11,Vísitala neysluverðs,"Mánaðarbreyting, %",0
1993M11,Vísitala neysluverðs,"Ársbreyting, %",5.8
1993M11,Vísitala neysluverðs án húsnæðis,Vísitala,174.8
1993M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.06
1993M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",6.7
1993M12,Vísitala neysluverðs,Vísitala,169.9
1993M12,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.53
1993M12,Vísitala neysluverðs,"Ársbreyting, %",4.7
1993M12,Vísitala neysluverðs án húsnæðis,Vísitala,174.2
1993M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.34
1993M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",5.6
1994M01,Vísitala neysluverðs,Vísitala,169.3
1994M01,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.35
1994M01,Vísitala neysluverðs,"Ársbreyting, %",3.2
1994M01,Vísitala neysluverðs án húsnæðis,Vísitala,173.5
1994M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.4
1994M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.8
1994M02,Vísitala neysluverðs,Vísitala,169.5
1994M02,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1994M02,Vísitala neysluverðs,"Ársbreyting, %",2.5
1994M02,Vísitala neysluverðs án húsnæðis,Vísitala,173.7
1994M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.12
1994M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.1
1994M03,Vísitala neysluverðs,Vísitala,169.7
1994M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1994M03,Vísitala neysluverðs,"Ársbreyting, %",2.6
1994M03,Vísitala neysluverðs án húsnæðis,Vísitala,173.9
1994M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.12
1994M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.1
1994M04,Vísitala neysluverðs,Vísitala,169.9
